NAMES                                                                                                     IMAGE                                                                                                                                                                      STATUS                        CREATED
dev-peer0.org1.example.com-kvstore_1.0-2ea7b22cef577b6fa4ca655d0dab5283b6734bee9c35f654d050c69a24ed4de2   dev-peer0.org1.example.com-kvstore_1.0-2ea7b22cef577b6fa4ca655d0dab5283b6734bee9c35f654d050c69a24ed4de2-f93e551618bbe1f07063118dfeb9edef05725d1badac579b530c38a96205d266   Exited (2) 54 seconds ago     6 minutes ago
dev-peer0.org2.example.com-kvstore_1.0-2ea7b22cef577b6fa4ca655d0dab5283b6734bee9c35f654d050c69a24ed4de2   dev-peer0.org2.example.com-kvstore_1.0-2ea7b22cef577b6fa4ca655d0dab5283b6734bee9c35f654d050c69a24ed4de2-66df8d15e996db8c818a7789c9509cde750e8b55a524e463d93ae58586a76342   Up 6 minutes                  6 minutes ago
musing_mendel                                                                                             bf93dd286749                                                                                                                                                               Created                       7 minutes ago
affectionate_swirles                                                                                      993b182f8dc5                                                                                                                                                               Created                       7 minutes ago
zealous_fermi                                                                                             bce17c3e0777                                                                                                                                                               Created                       7 minutes ago
adoring_franklin                                                                                          0f89fed10a5b                                                                                                                                                               Created                       7 minutes ago
cp.org1                                                                                                   npcioss/drunix-peer:1.0.0                                                                                                                                                  Up 7 minutes                  7 minutes ago
orderer.example.com                                                                                       npcioss/drunix-orderer:1.0.0                                                                                                                                               Up 7 minutes                  7 minutes ago
cp.org2                                                                                                   npcioss/drunix-peer:1.0.0                                                                                                                                                  Up 7 minutes                  7 minutes ago
lp1.org1                                                                                                  npcioss/drunix-peer:1.0.0                                                                                                                                                  Exited (137) 54 seconds ago   7 minutes ago
lp1.org2                                                                                                  npcioss/drunix-peer:1.0.0                                                                                                                                                  Up 7 minutes                  7 minutes ago
vs1.org2                                                                                                  npcioss/drunix-vscc:1.0.0                                                                                                                                                  Up 7 minutes                  7 minutes ago
vs1.org1                                                                                                  npcioss/drunix-vscc:1.0.0                                                                                                                                                  Up 7 minutes                  7 minutes ago
yugabyte-org2                                                                                             yugabytedb/yugabyte:2025.2.0.0-b131                                                                                                                                        Up 8 minutes                  8 minutes ago
yugabyte-org1                                                                                             yugabytedb/yugabyte:2025.2.0.0-b131                                                                                                                                        Up 8 minutes                  8 minutes ago
hlf_keydb_org1msp                                                                                         eqalpha/keydb                                                                                                                                                              Up 8 minutes                  8 minutes ago
hlf_keydb_org2msp                                                                                         eqalpha/keydb                                                                                                                                                              Up 8 minutes                  8 minutes ago
bench-monitoring-prometheus-1                                                                             prom/prometheus:v3.1.0                                                                                                                                                     Up 40 minutes                 40 minutes ago
bench-monitoring-cadvisor-1                                                                               ghcr.io/google/cadvisor:0.57.0                                                                                                                                             Up 40 minutes (healthy)       40 minutes ago
bench-monitoring-grafana-1                                                                                grafana/grafana:11.4.0                                                                                                                                                     Up 40 minutes                 40 minutes ago
bench-monitoring-node_exporter-1                                                                          prom/node-exporter:v1.9.0                                                                                                                                                  Up 40 minutes                 40 minutes ago
