NAMES                                                                                                     IMAGE                                                                                                                                                                      STATUS                   CREATED
dev-peer0.org1.example.com-kvstore_1.0-2ea7b22cef577b6fa4ca655d0dab5283b6734bee9c35f654d050c69a24ed4de2   dev-peer0.org1.example.com-kvstore_1.0-2ea7b22cef577b6fa4ca655d0dab5283b6734bee9c35f654d050c69a24ed4de2-f93e551618bbe1f07063118dfeb9edef05725d1badac579b530c38a96205d266   Up 53 seconds            54 seconds ago
dev-peer0.org2.example.com-kvstore_1.0-2ea7b22cef577b6fa4ca655d0dab5283b6734bee9c35f654d050c69a24ed4de2   dev-peer0.org2.example.com-kvstore_1.0-2ea7b22cef577b6fa4ca655d0dab5283b6734bee9c35f654d050c69a24ed4de2-66df8d15e996db8c818a7789c9509cde750e8b55a524e463d93ae58586a76342   Up 53 seconds            54 seconds ago
nervous_cartwright                                                                                        8c1f1ad3241e                                                                                                                                                               Created                  About a minute ago
priceless_hellman                                                                                         0a345e577ee1                                                                                                                                                               Created                  About a minute ago
reverent_noyce                                                                                            01f188c628f7                                                                                                                                                               Created                  About a minute ago
wizardly_tu                                                                                               4b851a7a4d63                                                                                                                                                               Created                  About a minute ago
cp.org1                                                                                                   npcioss/drunix-peer:1.0.0                                                                                                                                                  Up 2 minutes             2 minutes ago
cp.org2                                                                                                   npcioss/drunix-peer:1.0.0                                                                                                                                                  Up 2 minutes             2 minutes ago
lp1.org1                                                                                                  npcioss/drunix-peer:1.0.0                                                                                                                                                  Up 2 minutes             2 minutes ago
orderer.example.com                                                                                       npcioss/drunix-orderer:1.0.0                                                                                                                                               Up 2 minutes             2 minutes ago
lp1.org2                                                                                                  npcioss/drunix-peer:1.0.0                                                                                                                                                  Up 2 minutes             2 minutes ago
vs1.org2                                                                                                  npcioss/drunix-vscc:1.0.0                                                                                                                                                  Up 2 minutes             2 minutes ago
vs1.org1                                                                                                  npcioss/drunix-vscc:1.0.0                                                                                                                                                  Up 2 minutes             2 minutes ago
yugabyte-org1                                                                                             yugabytedb/yugabyte:2025.2.0.0-b131                                                                                                                                        Up 2 minutes             3 minutes ago
yugabyte-org2                                                                                             yugabytedb/yugabyte:2025.2.0.0-b131                                                                                                                                        Up 2 minutes             3 minutes ago
hlf_keydb_org2msp                                                                                         eqalpha/keydb                                                                                                                                                              Up 2 minutes             3 minutes ago
hlf_keydb_org1msp                                                                                         eqalpha/keydb                                                                                                                                                              Up 2 minutes             3 minutes ago
bench-monitoring-prometheus-1                                                                             prom/prometheus:v3.1.0                                                                                                                                                     Up 9 minutes             9 minutes ago
bench-monitoring-cadvisor-1                                                                               ghcr.io/google/cadvisor:0.57.0                                                                                                                                             Up 9 minutes (healthy)   9 minutes ago
bench-monitoring-grafana-1                                                                                grafana/grafana:11.4.0                                                                                                                                                     Up 9 minutes             9 minutes ago
bench-monitoring-node_exporter-1                                                                          prom/node-exporter:v1.9.0                                                                                                                                                  Up 9 minutes             9 minutes ago
