NAMES                                                                                                     IMAGE                                                                                                                                                                      STATUS                    CREATED
dev-peer0.org2.example.com-kvstore_1.0-2ea7b22cef577b6fa4ca655d0dab5283b6734bee9c35f654d050c69a24ed4de2   dev-peer0.org2.example.com-kvstore_1.0-2ea7b22cef577b6fa4ca655d0dab5283b6734bee9c35f654d050c69a24ed4de2-66df8d15e996db8c818a7789c9509cde750e8b55a524e463d93ae58586a76342   Up 10 minutes             10 minutes ago
dev-peer0.org1.example.com-kvstore_1.0-2ea7b22cef577b6fa4ca655d0dab5283b6734bee9c35f654d050c69a24ed4de2   dev-peer0.org1.example.com-kvstore_1.0-2ea7b22cef577b6fa4ca655d0dab5283b6734bee9c35f654d050c69a24ed4de2-f93e551618bbe1f07063118dfeb9edef05725d1badac579b530c38a96205d266   Up 10 minutes             10 minutes ago
bold_blackwell                                                                                            1f04f32f2a5f                                                                                                                                                               Created                   11 minutes ago
beautiful_faraday                                                                                         0a40bc76df09                                                                                                                                                               Created                   11 minutes ago
unruffled_panini                                                                                          dfe989f1b081                                                                                                                                                               Created                   11 minutes ago
elated_kapitsa                                                                                            c37670cde197                                                                                                                                                               Created                   11 minutes ago
orderer2.example.com                                                                                      hyperledger/fabric-orderer:latest                                                                                                                                          Up 11 minutes             11 minutes ago
peer0.org2.example.com                                                                                    hyperledger/fabric-peer:latest                                                                                                                                             Up 11 minutes             11 minutes ago
orderer3.example.com                                                                                      hyperledger/fabric-orderer:latest                                                                                                                                          Up 11 minutes             11 minutes ago
orderer.example.com                                                                                       hyperledger/fabric-orderer:latest                                                                                                                                          Up 11 minutes             11 minutes ago
peer0.org1.example.com                                                                                    hyperledger/fabric-peer:latest                                                                                                                                             Up 11 minutes             11 minutes ago
orderer4.example.com                                                                                      hyperledger/fabric-orderer:latest                                                                                                                                          Up 11 minutes             11 minutes ago
bench-monitoring-prometheus-1                                                                             prom/prometheus:v3.1.0                                                                                                                                                     Up 31 minutes             31 minutes ago
bench-monitoring-cadvisor-1                                                                               ghcr.io/google/cadvisor:0.57.0                                                                                                                                             Up 31 minutes (healthy)   31 minutes ago
bench-monitoring-grafana-1                                                                                grafana/grafana:11.4.0                                                                                                                                                     Up 31 minutes             31 minutes ago
bench-monitoring-node_exporter-1                                                                          prom/node-exporter:v1.9.0                                                                                                                                                  Up 31 minutes             31 minutes ago
