NAMES                                                                                                     IMAGE                                                                                                                                                                      STATUS                   CREATED
dev-peer0.org2.example.com-kvstore_1.0-2ea7b22cef577b6fa4ca655d0dab5283b6734bee9c35f654d050c69a24ed4de2   dev-peer0.org2.example.com-kvstore_1.0-2ea7b22cef577b6fa4ca655d0dab5283b6734bee9c35f654d050c69a24ed4de2-66df8d15e996db8c818a7789c9509cde750e8b55a524e463d93ae58586a76342   Up 37 seconds            38 seconds ago
dev-peer0.org1.example.com-kvstore_1.0-2ea7b22cef577b6fa4ca655d0dab5283b6734bee9c35f654d050c69a24ed4de2   dev-peer0.org1.example.com-kvstore_1.0-2ea7b22cef577b6fa4ca655d0dab5283b6734bee9c35f654d050c69a24ed4de2-f93e551618bbe1f07063118dfeb9edef05725d1badac579b530c38a96205d266   Up 37 seconds            38 seconds ago
infallible_jemison                                                                                        ed89dab33185                                                                                                                                                               Created                  54 seconds ago
vigorous_keller                                                                                           3cd501095418                                                                                                                                                               Created                  55 seconds ago
elegant_northcutt                                                                                         230b722cd29e                                                                                                                                                               Created                  About a minute ago
strange_khorana                                                                                           e3a26e799aed                                                                                                                                                               Created                  About a minute ago
peer0.org1.example.com                                                                                    hyperledger/fabric-peer:latest                                                                                                                                             Up About a minute        About a minute ago
orderer4.example.com                                                                                      hyperledger/fabric-orderer:latest                                                                                                                                          Up About a minute        About a minute ago
peer0.org2.example.com                                                                                    hyperledger/fabric-peer:latest                                                                                                                                             Up About a minute        About a minute ago
orderer.example.com                                                                                       hyperledger/fabric-orderer:latest                                                                                                                                          Up About a minute        About a minute ago
orderer2.example.com                                                                                      hyperledger/fabric-orderer:latest                                                                                                                                          Up About a minute        About a minute ago
orderer3.example.com                                                                                      hyperledger/fabric-orderer:latest                                                                                                                                          Up About a minute        About a minute ago
bench-monitoring-prometheus-1                                                                             prom/prometheus:v3.1.0                                                                                                                                                     Up 4 minutes             4 minutes ago
bench-monitoring-cadvisor-1                                                                               ghcr.io/google/cadvisor:0.57.0                                                                                                                                             Up 4 minutes (healthy)   4 minutes ago
bench-monitoring-grafana-1                                                                                grafana/grafana:11.4.0                                                                                                                                                     Up 4 minutes             4 minutes ago
bench-monitoring-node_exporter-1                                                                          prom/node-exporter:v1.9.0                                                                                                                                                  Up 4 minutes             4 minutes ago
