NAMES                                                                                                     IMAGE                                                                                                                                                                      STATUS                   CREATED
dev-peer0.org1.example.com-kvstore_1.0-2ea7b22cef577b6fa4ca655d0dab5283b6734bee9c35f654d050c69a24ed4de2   dev-peer0.org1.example.com-kvstore_1.0-2ea7b22cef577b6fa4ca655d0dab5283b6734bee9c35f654d050c69a24ed4de2-f93e551618bbe1f07063118dfeb9edef05725d1badac579b530c38a96205d266   Up 37 seconds            39 seconds ago
dev-peer0.org2.example.com-kvstore_1.0-2ea7b22cef577b6fa4ca655d0dab5283b6734bee9c35f654d050c69a24ed4de2   dev-peer0.org2.example.com-kvstore_1.0-2ea7b22cef577b6fa4ca655d0dab5283b6734bee9c35f654d050c69a24ed4de2-66df8d15e996db8c818a7789c9509cde750e8b55a524e463d93ae58586a76342   Up 37 seconds            39 seconds ago
compassionate_kare                                                                                        7d8641015789                                                                                                                                                               Created                  55 seconds ago
stoic_bhaskara                                                                                            a56481b5506b                                                                                                                                                               Created                  56 seconds ago
sleepy_mendel                                                                                             4bb1ae9d8a47                                                                                                                                                               Created                  About a minute ago
sweet_hertz                                                                                               851456b90603                                                                                                                                                               Created                  About a minute ago
peer0.org2.example.com                                                                                    hyperledger/fabric-peer:latest                                                                                                                                             Up About a minute        About a minute ago
orderer.example.com                                                                                       hyperledger/fabric-orderer:latest                                                                                                                                          Up About a minute        About a minute ago
peer0.org1.example.com                                                                                    hyperledger/fabric-peer:latest                                                                                                                                             Up About a minute        About a minute ago
bench-monitoring-prometheus-1                                                                             prom/prometheus:v3.1.0                                                                                                                                                     Up 2 minutes             2 minutes ago
bench-monitoring-cadvisor-1                                                                               ghcr.io/google/cadvisor:0.57.0                                                                                                                                             Up 2 minutes (healthy)   2 minutes ago
bench-monitoring-grafana-1                                                                                grafana/grafana:11.4.0                                                                                                                                                     Up 2 minutes             2 minutes ago
bench-monitoring-node_exporter-1                                                                          prom/node-exporter:v1.9.0                                                                                                                                                  Up 2 minutes             2 minutes ago
