NAMES                                                                                                     IMAGE                                                                                                                                                                      STATUS                          CREATED
dev-peer0.org1.example.com-kvstore_1.0-e88284a33ff8806958375f99312782794164d62aac26fe22876f2c72fb6294d9   dev-peer0.org1.example.com-kvstore_1.0-e88284a33ff8806958375f99312782794164d62aac26fe22876f2c72fb6294d9-69fc7c62d4c586b892ebdf21972c9f99a025fa7f3de7b416a325aa17c7d14ed9   Exited (2) 47 seconds ago       6 minutes ago
dev-peer0.org2.example.com-kvstore_1.0-e88284a33ff8806958375f99312782794164d62aac26fe22876f2c72fb6294d9   dev-peer0.org2.example.com-kvstore_1.0-e88284a33ff8806958375f99312782794164d62aac26fe22876f2c72fb6294d9-68943f16f9aba9f24cbd04de158905f755f192c405682abc67b51f4b237b88ec   Up 6 minutes                    6 minutes ago
optimistic_wu                                                                                             6d5a9893a142                                                                                                                                                               Created                         7 minutes ago
charming_sinoussi                                                                                         96994c3b7ea9                                                                                                                                                               Created                         7 minutes ago
nervous_gould                                                                                             5d72c10126b8                                                                                                                                                               Created                         7 minutes ago
agitated_merkle                                                                                           752307e6744d                                                                                                                                                               Created                         7 minutes ago
cp.org2                                                                                                   npcioss/drunix-peer:1.0.0                                                                                                                                                  Up 7 minutes                    7 minutes ago
cp.org1                                                                                                   npcioss/drunix-peer:1.0.0                                                                                                                                                  Up 7 minutes                    7 minutes ago
lp1.org1                                                                                                  npcioss/drunix-peer:1.0.0                                                                                                                                                  Exited (137) 47 seconds ago     7 minutes ago
lp1.org2                                                                                                  npcioss/drunix-peer:1.0.0                                                                                                                                                  Up 7 minutes                    7 minutes ago
orderer.example.com                                                                                       npcioss/drunix-orderer:1.0.0                                                                                                                                               Up 7 minutes                    7 minutes ago
vs1.org1                                                                                                  npcioss/drunix-vscc:1.0.0                                                                                                                                                  Up 7 minutes                    7 minutes ago
vs1.org2                                                                                                  npcioss/drunix-vscc:1.0.0                                                                                                                                                  Up 7 minutes                    7 minutes ago
hlf_keydb_org1msp                                                                                         eqalpha/keydb                                                                                                                                                              Up 8 minutes                    8 minutes ago
hlf_keydb_org2msp                                                                                         eqalpha/keydb                                                                                                                                                              Up 8 minutes                    8 minutes ago
yugabyte-org1                                                                                             yugabytedb/yugabyte:2025.2.0.0-b131                                                                                                                                        Up 8 minutes                    8 minutes ago
yugabyte-org2                                                                                             yugabytedb/yugabyte:2025.2.0.0-b131                                                                                                                                        Up 8 minutes                    8 minutes ago
bench-monitoring-cadvisor-1                                                                               ghcr.io/google/cadvisor:0.57.0                                                                                                                                             Up 18 hours (healthy)           18 hours ago
bench-monitoring-node_exporter-1                                                                          prom/node-exporter:v1.9.0                                                                                                                                                  Up 2 hours                      18 hours ago
bench-monitoring-grafana-1                                                                                grafana/grafana:11.4.0                                                                                                                                                     Up 18 hours                     18 hours ago
bench-monitoring-prometheus-1                                                                             prom/prometheus:v3.1.0                                                                                                                                                     Up 18 hours                     18 hours ago
nucleus-headlamp-1                                                                                        weaverai/nucleus-k8-dashboard                                                                                                                                              Up 18 hours                     5 weeks ago
feast-control-plane                                                                                       kindest/node:v1.36.1                                                                                                                                                       Up 18 hours                     6 weeks ago
feast-worker                                                                                              kindest/node:v1.36.1                                                                                                                                                       Up 18 hours                     6 weeks ago
feast-worker2                                                                                             kindest/node:v1.36.1                                                                                                                                                       Up 18 hours                     6 weeks ago
untitled-cassandra                                                                                        cassandra:5.0                                                                                                                                                              Restarting (3) 50 seconds ago   7 weeks ago
