2026-09-16T05:40:25.379019144Z [epoch] WARNING: Logging before InitGoogleLogging() is written to STDERR
2026-09-16T05:40:25.379051159Z [epoch] I20260916 05:40:25.377578     7 epoch_server.cpp:38] Set raft port to 8100 .
2026-09-16T05:40:25.379840417Z [epoch] I20260916 05:40:25.378818     7 epoch_server.cpp:33] Set duration to 0.05 s.
2026-09-16T05:40:25.379845555Z [epoch] I20260916 05:40:25.379711     7 consensus_manager.h:44] initial_conf 172.30.7.10:8100:0,172.30.7.11:8100:0,172.30.7.12:8100:0,172.30.7.13:8100:0.
2026-09-16T05:40:25.383552250Z WARNING: Logging before InitGoogleLogging() is written to STDERR
2026-09-16T05:40:25.383563019Z I20260916 05:40:25.383427     1 query_controller.cpp:21] Query listener start at 0.0.0.0:7003
2026-09-16T05:40:25.401185201Z I20260916 05:40:25.401051     1 consensus_manager.h:63] initial_conf 172.30.7.10:18100:0,172.30.7.11:18100:0,172.30.7.12:18100:0,172.30.7.13:18100:0.
2026-09-16T05:40:25.408026934Z I20260916 05:40:25.407929     1 consensus_manager.h:63] initial_conf 172.30.7.10:18100:1,172.30.7.11:18100:1,172.30.7.12:18100:1,172.30.7.13:18100:1.
2026-09-16T05:40:25.410657450Z [epoch] I20260916 05:40:25.410424     7 server.cpp:1066] Server[braft::RaftStatImpl+braft::FileServiceImpl+braft::RaftServiceImpl+braft::CliServiceImpl+raft::ChainServiceImpl] is serving on port=8100.
2026-09-16T05:40:25.411229840Z [epoch] I20260916 05:40:25.410436     7 server.cpp:1069] Check out http://node2:8100 in web browser.
2026-09-16T05:40:25.411232403Z [epoch] I20260916 05:40:25.411123     7 consensus_manager.h:84] Brpc service is running on 0.0.0.0:8100
2026-09-16T05:40:25.414518294Z I20260916 05:40:25.414463     1 consensus_manager.h:63] initial_conf 172.30.7.10:18100:2,172.30.7.11:18100:2,172.30.7.12:18100:2,172.30.7.13:18100:2.
2026-09-16T05:40:25.417454055Z [epoch] I20260916 05:40:25.417300     7 log.cpp:674] Use crc32c as the checksum type of appending entries
2026-09-16T05:40:25.417457027Z [epoch] W20260916 05:40:25.417346     7 protobuf_file.cpp:91] open file failed, path: ./raft_dataepoch_server_group/log/log_meta: FILE_ERROR_NOT_FOUND
2026-09-16T05:40:25.417457985Z [epoch] W20260916 05:40:25.417352     7 log.cpp:685] ./raft_dataepoch_server_group/log is empty
2026-09-16T05:40:25.419233369Z [epoch] I20260916 05:40:25.419104     7 log.cpp:1137] log save_meta ./raft_dataepoch_server_group/log/log_meta first_log_index: 1 time: 1731
2026-09-16T05:40:25.419679355Z [epoch] W20260916 05:40:25.419528     7 protobuf_file.cpp:91] open file failed, path: ./raft_dataepoch_server_group/raft_meta/raft_meta: FILE_ERROR_NOT_FOUND
2026-09-16T05:40:25.419684411Z [epoch] I20260916 05:40:25.419552     7 raft_meta.cpp:521] Loaded single stable meta, path ./raft_dataepoch_server_group/raft_meta term 1 votedfor 0.0.0.0:0:0 time: 14
2026-09-16T05:40:25.419704777Z [epoch] I20260916 05:40:25.419570     7 node.cpp:604] node epoch_server_group:172.30.7.12:8100:0 init, term: 1 last_log_id: (index=0,term=0) conf: 172.30.7.10:8100:0,172.30.7.11:8100:0,172.30.7.12:8100:0,172.30.7.13:8100:0 old_conf: 
2026-09-16T05:40:25.420510316Z [epoch] I20260916 05:40:25.420346     7 chain_client.cpp:83] Sending Request to epoch_server_group at qps=0 latency=0
2026-09-16T05:40:25.420515996Z [epoch] I20260916 05:40:25.420368    66 ev_consensus_manager.cpp:52] set epoch duration to 0.05s, receiver port 6002
2026-09-16T05:40:25.420524168Z [epoch] I20260916 05:40:25.420447    70 consensus_manager.h:214] Electing leader, waiting...
2026-09-16T05:40:25.420868397Z I20260916 05:40:25.420802     1 consensus_manager.h:63] initial_conf 172.30.7.10:18100:3,172.30.7.11:18100:3,172.30.7.12:18100:3,172.30.7.13:18100:3.
2026-09-16T05:40:25.427048313Z I20260916 05:40:25.426962     1 consensus_control_block.h:216] LOCAL id = 2
2026-09-16T05:40:25.429871213Z I20260916 05:40:25.429785     1 server.cpp:1066] Server[braft::RaftStatImpl+braft::FileServiceImpl+braft::RaftServiceImpl+braft::CliServiceImpl+raft::ChainServiceImpl] is serving on port=18100.
2026-09-16T05:40:25.429949725Z I20260916 05:40:25.429795     1 server.cpp:1069] Check out http://node2:18100 in web browser.
2026-09-16T05:40:25.429955318Z I20260916 05:40:25.429915     1 consensus_manager.h:84] Brpc service is running on 0.0.0.0:18100
2026-09-16T05:40:25.429972093Z I20260916 05:40:25.429925     1 consensus_manager.h:63] initial_conf 172.30.7.10:18100:0,172.30.7.11:18100:0,172.30.7.12:18100:0,172.30.7.13:18100:0.
2026-09-16T05:40:25.430726301Z I20260916 05:40:25.430657     1 log.cpp:674] Use crc32c as the checksum type of appending entries
2026-09-16T05:40:25.430732634Z W20260916 05:40:25.430682     1 protobuf_file.cpp:91] open file failed, path: ./raft_datablock_server_raft_0/log/log_meta: FILE_ERROR_NOT_FOUND
2026-09-16T05:40:25.430733793Z W20260916 05:40:25.430686     1 log.cpp:685] ./raft_datablock_server_raft_0/log is empty
2026-09-16T05:40:25.432398045Z I20260916 05:40:25.432330     1 log.cpp:1137] log save_meta ./raft_datablock_server_raft_0/log/log_meta first_log_index: 1 time: 1630
2026-09-16T05:40:25.432521025Z I20260916 05:40:25.432478     1 snapshot.cpp:463] Deleting ./raft_datablock_server_raft_0/snapshot/temp
2026-09-16T05:40:25.432656707Z W20260916 05:40:25.432611     1 protobuf_file.cpp:91] open file failed, path: ./raft_datablock_server_raft_0/raft_meta/raft_meta: FILE_ERROR_NOT_FOUND
2026-09-16T05:40:25.432659623Z I20260916 05:40:25.432621     1 raft_meta.cpp:521] Loaded single stable meta, path ./raft_datablock_server_raft_0/raft_meta term 1 votedfor 0.0.0.0:0:0 time: 9
2026-09-16T05:40:25.432660433Z I20260916 05:40:25.432631     1 node.cpp:604] node block_server_raft_0:172.30.7.12:18100:0 init, term: 1 last_log_id: (index=0,term=0) conf: 172.30.7.10:18100:0,172.30.7.11:18100:0,172.30.7.12:18100:0,172.30.7.13:18100:0 old_conf: 
2026-09-16T05:40:25.432772549Z I20260916 05:40:25.432731     1 consensus_manager.h:63] initial_conf 172.30.7.10:18100:1,172.30.7.11:18100:1,172.30.7.12:18100:1,172.30.7.13:18100:1.
2026-09-16T05:40:25.432968662Z W20260916 05:40:25.432929     1 protobuf_file.cpp:91] open file failed, path: ./raft_datablock_server_raft_1/log/log_meta: FILE_ERROR_NOT_FOUND
2026-09-16T05:40:25.432972153Z W20260916 05:40:25.432933     1 log.cpp:685] ./raft_datablock_server_raft_1/log is empty
2026-09-16T05:40:25.434967180Z I20260916 05:40:25.434854     1 log.cpp:1137] log save_meta ./raft_datablock_server_raft_1/log/log_meta first_log_index: 1 time: 1913
