NAMES                                                                                                     IMAGE                                                                                                                                                                      STATUS                          CREATED
dev-peer0.org2.example.com-kvstore_1.0-e88284a33ff8806958375f99312782794164d62aac26fe22876f2c72fb6294d9   dev-peer0.org2.example.com-kvstore_1.0-e88284a33ff8806958375f99312782794164d62aac26fe22876f2c72fb6294d9-68943f16f9aba9f24cbd04de158905f755f192c405682abc67b51f4b237b88ec   Up 8 minutes                    8 minutes ago
dev-peer0.org1.example.com-kvstore_1.0-e88284a33ff8806958375f99312782794164d62aac26fe22876f2c72fb6294d9   dev-peer0.org1.example.com-kvstore_1.0-e88284a33ff8806958375f99312782794164d62aac26fe22876f2c72fb6294d9-69fc7c62d4c586b892ebdf21972c9f99a025fa7f3de7b416a325aa17c7d14ed9   Exited (2) 41 seconds ago       8 minutes ago
naughty_taussig                                                                                           ff9ba26fc9d8                                                                                                                                                               Created                         8 minutes ago
angry_galileo                                                                                             32ccc0c4ebde                                                                                                                                                               Created                         8 minutes ago
funny_ardinghelli                                                                                         a67699067044                                                                                                                                                               Created                         8 minutes ago
musing_noyce                                                                                              35b52e73108b                                                                                                                                                               Created                         8 minutes ago
peer0.org1.example.com                                                                                    hyperledger/fabric-peer:latest                                                                                                                                             Exited (137) 41 seconds ago     8 minutes ago
orderer2.example.com                                                                                      hyperledger/fabric-orderer:latest                                                                                                                                          Up 8 minutes                    8 minutes ago
orderer3.example.com                                                                                      hyperledger/fabric-orderer:latest                                                                                                                                          Up 8 minutes                    8 minutes ago
orderer.example.com                                                                                       hyperledger/fabric-orderer:latest                                                                                                                                          Up 8 minutes                    8 minutes ago
orderer4.example.com                                                                                      hyperledger/fabric-orderer:latest                                                                                                                                          Up 8 minutes                    8 minutes ago
peer0.org2.example.com                                                                                    hyperledger/fabric-peer:latest                                                                                                                                             Up 8 minutes                    8 minutes ago
nucleus-headlamp-1                                                                                        weaverai/nucleus-k8-dashboard                                                                                                                                              Up 20 hours                     5 weeks ago
feast-control-plane                                                                                       kindest/node:v1.36.1                                                                                                                                                       Up 20 hours                     6 weeks ago
feast-worker                                                                                              kindest/node:v1.36.1                                                                                                                                                       Up 20 hours                     6 weeks ago
feast-worker2                                                                                             kindest/node:v1.36.1                                                                                                                                                       Up 20 hours                     6 weeks ago
untitled-cassandra                                                                                        cassandra:5.0                                                                                                                                                              Restarting (3) 21 seconds ago   7 weeks ago
