NAMES                                                                                                     IMAGE                                                                                                                                                                      STATUS                         CREATED
dev-peer0.org1.example.com-kvstore_1.0-e88284a33ff8806958375f99312782794164d62aac26fe22876f2c72fb6294d9   dev-peer0.org1.example.com-kvstore_1.0-e88284a33ff8806958375f99312782794164d62aac26fe22876f2c72fb6294d9-69fc7c62d4c586b892ebdf21972c9f99a025fa7f3de7b416a325aa17c7d14ed9   Up 13 minutes                  13 minutes ago
dev-peer0.org2.example.com-kvstore_1.0-e88284a33ff8806958375f99312782794164d62aac26fe22876f2c72fb6294d9   dev-peer0.org2.example.com-kvstore_1.0-e88284a33ff8806958375f99312782794164d62aac26fe22876f2c72fb6294d9-68943f16f9aba9f24cbd04de158905f755f192c405682abc67b51f4b237b88ec   Up 13 minutes                  13 minutes ago
sleepy_borg                                                                                               4f817b7b6e4e                                                                                                                                                               Created                        13 minutes ago
recursing_davinci                                                                                         e7c08d4c901d                                                                                                                                                               Created                        13 minutes ago
brave_swartz                                                                                              6d0f6af7ed4e                                                                                                                                                               Created                        13 minutes ago
gifted_bouman                                                                                             5b47db323945                                                                                                                                                               Created                        13 minutes ago
peer0.org1.example.com                                                                                    hyperledger/fabric-peer:latest                                                                                                                                             Up 13 minutes                  13 minutes ago
orderer.example.com                                                                                       hyperledger/fabric-orderer:latest                                                                                                                                          Up 13 minutes                  13 minutes ago
peer0.org2.example.com                                                                                    hyperledger/fabric-peer:latest                                                                                                                                             Up 13 minutes                  13 minutes ago
nucleus-headlamp-1                                                                                        weaverai/nucleus-k8-dashboard                                                                                                                                              Up 20 hours                    5 weeks ago
feast-control-plane                                                                                       kindest/node:v1.36.1                                                                                                                                                       Up 20 hours                    6 weeks ago
feast-worker                                                                                              kindest/node:v1.36.1                                                                                                                                                       Up 20 hours                    6 weeks ago
feast-worker2                                                                                             kindest/node:v1.36.1                                                                                                                                                       Up 20 hours                    6 weeks ago
untitled-cassandra                                                                                        cassandra:5.0                                                                                                                                                              Restarting (3) 9 seconds ago   7 weeks ago
