2026-09-16T07:45:49.747025731Z [epoch] WARNING: Logging before InitGoogleLogging() is written to STDERR
2026-09-16T07:45:49.747045137Z [epoch] I20260916 07:45:49.746628     7 epoch_server.cpp:38] Set raft port to 8100 .
2026-09-16T07:45:49.747258659Z [epoch] I20260916 07:45:49.746878     7 epoch_server.cpp:33] Set duration to 0.05 s.
2026-09-16T07:45:49.747262248Z [epoch] I20260916 07:45:49.747151     7 consensus_manager.h:44] initial_conf 172.30.7.10:8100:0,172.30.7.11:8100:0,172.30.7.12:8100:0,172.30.7.13:8100:0.
2026-09-16T07:45:49.752378309Z WARNING: Logging before InitGoogleLogging() is written to STDERR
2026-09-16T07:45:49.752391432Z I20260916 07:45:49.752233     1 query_controller.cpp:21] Query listener start at 0.0.0.0:7003
2026-09-16T07:45:49.761721211Z I20260916 07:45:49.761574     1 consensus_manager.h:63] initial_conf 172.30.7.10:18100:0,172.30.7.11:18100:0,172.30.7.12:18100:0,172.30.7.13:18100:0.
2026-09-16T07:45:49.767529792Z [epoch] I20260916 07:45:49.767360     7 server.cpp:1066] Server[braft::RaftStatImpl+braft::FileServiceImpl+braft::RaftServiceImpl+braft::CliServiceImpl+raft::ChainServiceImpl] is serving on port=8100.
2026-09-16T07:45:49.768252885Z [epoch] I20260916 07:45:49.767372     7 server.cpp:1069] Check out http://node1:8100 in web browser.
2026-09-16T07:45:49.768331049Z [epoch] I20260916 07:45:49.768121     7 consensus_manager.h:84] Brpc service is running on 0.0.0.0:8100
2026-09-16T07:45:49.769720440Z [epoch] I20260916 07:45:49.769536     7 log.cpp:674] Use crc32c as the checksum type of appending entries
2026-09-16T07:45:49.769723970Z [epoch] W20260916 07:45:49.769564     7 protobuf_file.cpp:91] open file failed, path: ./raft_dataepoch_server_group/log/log_meta: FILE_ERROR_NOT_FOUND
2026-09-16T07:45:49.769724946Z [epoch] W20260916 07:45:49.769569     7 log.cpp:685] ./raft_dataepoch_server_group/log is empty
2026-09-16T07:45:49.770261503Z I20260916 07:45:49.770200     1 consensus_manager.h:63] initial_conf 172.30.7.10:18100:1,172.30.7.11:18100:1,172.30.7.12:18100:1,172.30.7.13:18100:1.
2026-09-16T07:45:49.772413806Z [epoch] I20260916 07:45:49.772265     7 log.cpp:1137] log save_meta ./raft_dataepoch_server_group/log/log_meta first_log_index: 1 time: 2679
2026-09-16T07:45:49.773029282Z [epoch] W20260916 07:45:49.772920     7 protobuf_file.cpp:91] open file failed, path: ./raft_dataepoch_server_group/raft_meta/raft_meta: FILE_ERROR_NOT_FOUND
2026-09-16T07:45:49.773035649Z [epoch] I20260916 07:45:49.772959     7 raft_meta.cpp:521] Loaded single stable meta, path ./raft_dataepoch_server_group/raft_meta term 1 votedfor 0.0.0.0:0:0 time: 16
2026-09-16T07:45:49.773353659Z [epoch] I20260916 07:45:49.773236     7 node.cpp:604] node epoch_server_group:172.30.7.11:8100:0 init, term: 1 last_log_id: (index=0,term=0) conf: 172.30.7.10:8100:0,172.30.7.11:8100:0,172.30.7.12:8100:0,172.30.7.13:8100:0 old_conf: 
2026-09-16T07:45:49.773511876Z [epoch] I20260916 07:45:49.773391     7 chain_client.cpp:83] Sending Request to epoch_server_group at qps=0 latency=0
2026-09-16T07:45:49.773518500Z [epoch] I20260916 07:45:49.773434    52 consensus_manager.h:214] Electing leader, waiting...
2026-09-16T07:45:49.773675259Z [epoch] I20260916 07:45:49.773553    42 ev_consensus_manager.cpp:52] set epoch duration to 0.05s, receiver port 6002
2026-09-16T07:45:49.776340360Z I20260916 07:45:49.776270     1 consensus_manager.h:63] initial_conf 172.30.7.10:18100:2,172.30.7.11:18100:2,172.30.7.12:18100:2,172.30.7.13:18100:2.
2026-09-16T07:45:49.782682834Z I20260916 07:45:49.782625     1 consensus_manager.h:63] initial_conf 172.30.7.10:18100:3,172.30.7.11:18100:3,172.30.7.12:18100:3,172.30.7.13:18100:3.
2026-09-16T07:45:49.789216135Z I20260916 07:45:49.789140     1 consensus_control_block.h:216] LOCAL id = 1
2026-09-16T07:45:49.791678928Z I20260916 07:45:49.791623     1 server.cpp:1066] Server[braft::RaftStatImpl+braft::FileServiceImpl+braft::RaftServiceImpl+braft::CliServiceImpl+raft::ChainServiceImpl] is serving on port=18100.
2026-09-16T07:45:49.791750750Z I20260916 07:45:49.791632     1 server.cpp:1069] Check out http://node1:18100 in web browser.
2026-09-16T07:45:49.791759296Z I20260916 07:45:49.791702     1 consensus_manager.h:84] Brpc service is running on 0.0.0.0:18100
2026-09-16T07:45:49.791760441Z I20260916 07:45:49.791708     1 consensus_manager.h:63] initial_conf 172.30.7.10:18100:0,172.30.7.11:18100:0,172.30.7.12:18100:0,172.30.7.13:18100:0.
2026-09-16T07:45:49.792377422Z I20260916 07:45:49.792289     1 log.cpp:674] Use crc32c as the checksum type of appending entries
2026-09-16T07:45:49.792380445Z W20260916 07:45:49.792313     1 protobuf_file.cpp:91] open file failed, path: ./raft_datablock_server_raft_0/log/log_meta: FILE_ERROR_NOT_FOUND
2026-09-16T07:45:49.792381376Z W20260916 07:45:49.792317     1 log.cpp:685] ./raft_datablock_server_raft_0/log is empty
2026-09-16T07:45:49.799650844Z I20260916 07:45:49.799558     1 log.cpp:1137] log save_meta ./raft_datablock_server_raft_0/log/log_meta first_log_index: 1 time: 7227
2026-09-16T07:45:49.799878103Z W20260916 07:45:49.799818     1 protobuf_file.cpp:91] open file failed, path: ./raft_datablock_server_raft_0/raft_meta/raft_meta: FILE_ERROR_NOT_FOUND
2026-09-16T07:45:49.799885150Z I20260916 07:45:49.799831     1 raft_meta.cpp:521] Loaded single stable meta, path ./raft_datablock_server_raft_0/raft_meta term 1 votedfor 0.0.0.0:0:0 time: 9
