NAMES                                                                                                     IMAGE                                                                                                                                                                      STATUS                          CREATED
dev-peer0.org2.example.com-kvstore_1.0-e88284a33ff8806958375f99312782794164d62aac26fe22876f2c72fb6294d9   dev-peer0.org2.example.com-kvstore_1.0-e88284a33ff8806958375f99312782794164d62aac26fe22876f2c72fb6294d9-68943f16f9aba9f24cbd04de158905f755f192c405682abc67b51f4b237b88ec   Up 7 minutes                    7 minutes ago
dev-peer0.org1.example.com-kvstore_1.0-e88284a33ff8806958375f99312782794164d62aac26fe22876f2c72fb6294d9   dev-peer0.org1.example.com-kvstore_1.0-e88284a33ff8806958375f99312782794164d62aac26fe22876f2c72fb6294d9-69fc7c62d4c586b892ebdf21972c9f99a025fa7f3de7b416a325aa17c7d14ed9   Exited (2) 49 seconds ago       7 minutes ago
wonderful_easley                                                                                          266d6489c567                                                                                                                                                               Created                         8 minutes ago
vigorous_hodgkin                                                                                          dae1641b7574                                                                                                                                                               Created                         8 minutes ago
angry_spence                                                                                              57009e85140e                                                                                                                                                               Created                         8 minutes ago
priceless_kalam                                                                                           d13db546bc3f                                                                                                                                                               Created                         8 minutes ago
cp.org2                                                                                                   npcioss/drunix-peer:1.0.0                                                                                                                                                  Up 8 minutes                    8 minutes ago
lp1.org1                                                                                                  npcioss/drunix-peer:1.0.0                                                                                                                                                  Exited (137) 49 seconds ago     8 minutes ago
orderer.example.com                                                                                       npcioss/drunix-orderer:1.0.0                                                                                                                                               Up 8 minutes                    8 minutes ago
lp1.org2                                                                                                  npcioss/drunix-peer:1.0.0                                                                                                                                                  Up 8 minutes                    8 minutes ago
cp.org1                                                                                                   npcioss/drunix-peer:1.0.0                                                                                                                                                  Up 8 minutes                    8 minutes ago
vs1.org1                                                                                                  npcioss/drunix-vscc:1.0.0                                                                                                                                                  Up 8 minutes                    8 minutes ago
vs1.org2                                                                                                  npcioss/drunix-vscc:1.0.0                                                                                                                                                  Up 8 minutes                    8 minutes ago
yugabyte-org2                                                                                             yugabytedb/yugabyte:2025.2.0.0-b131                                                                                                                                        Up 9 minutes                    9 minutes ago
hlf_keydb_org1msp                                                                                         eqalpha/keydb                                                                                                                                                              Up 9 minutes                    9 minutes ago
yugabyte-org1                                                                                             yugabytedb/yugabyte:2025.2.0.0-b131                                                                                                                                        Up 9 minutes                    9 minutes ago
hlf_keydb_org2msp                                                                                         eqalpha/keydb                                                                                                                                                              Up 9 minutes                    9 minutes ago
bench-monitoring-grafana-1                                                                                grafana/grafana:11.4.0                                                                                                                                                     Up 3 hours                      3 hours ago
bench-monitoring-prometheus-1                                                                             prom/prometheus:v3.1.0                                                                                                                                                     Up 3 hours                      3 hours ago
bench-monitoring-cadvisor-1                                                                               ghcr.io/google/cadvisor:0.57.0                                                                                                                                             Up 3 hours (healthy)            3 hours ago
bench-monitoring-node_exporter-1                                                                          prom/node-exporter:v1.9.0                                                                                                                                                  Up 3 hours                      3 hours ago
nucleus-headlamp-1                                                                                        weaverai/nucleus-k8-dashboard                                                                                                                                              Up 24 hours                     5 weeks ago
feast-control-plane                                                                                       kindest/node:v1.36.1                                                                                                                                                       Up 24 hours                     6 weeks ago
feast-worker                                                                                              kindest/node:v1.36.1                                                                                                                                                       Up 24 hours                     6 weeks ago
feast-worker2                                                                                             kindest/node:v1.36.1                                                                                                                                                       Up 24 hours                     6 weeks ago
untitled-cassandra                                                                                        cassandra:5.0                                                                                                                                                              Restarting (3) 19 seconds ago   7 weeks ago
