NAMES                                                                                                     IMAGE                                                                                                                                                                      STATUS                          CREATED
dev-peer0.org2.example.com-kvstore_1.0-e88284a33ff8806958375f99312782794164d62aac26fe22876f2c72fb6294d9   dev-peer0.org2.example.com-kvstore_1.0-e88284a33ff8806958375f99312782794164d62aac26fe22876f2c72fb6294d9-68943f16f9aba9f24cbd04de158905f755f192c405682abc67b51f4b237b88ec   Up 13 minutes                   13 minutes ago
dev-peer0.org1.example.com-kvstore_1.0-e88284a33ff8806958375f99312782794164d62aac26fe22876f2c72fb6294d9   dev-peer0.org1.example.com-kvstore_1.0-e88284a33ff8806958375f99312782794164d62aac26fe22876f2c72fb6294d9-69fc7c62d4c586b892ebdf21972c9f99a025fa7f3de7b416a325aa17c7d14ed9   Up 13 minutes                   13 minutes ago
stupefied_jepsen                                                                                          91efb45a0fd3                                                                                                                                                               Created                         13 minutes ago
peaceful_antonelli                                                                                        4a252fadf5e6                                                                                                                                                               Created                         13 minutes ago
inspiring_johnson                                                                                         28978cd3f71d                                                                                                                                                               Created                         13 minutes ago
great_brahmagupta                                                                                         97c812e0fe82                                                                                                                                                               Created                         13 minutes ago
orderer3.example.com                                                                                      hyperledger/fabric-orderer:latest                                                                                                                                          Up 13 minutes                   13 minutes ago
orderer2.example.com                                                                                      hyperledger/fabric-orderer:latest                                                                                                                                          Up 13 minutes                   13 minutes ago
peer0.org1.example.com                                                                                    hyperledger/fabric-peer:latest                                                                                                                                             Up 13 minutes                   13 minutes ago
orderer4.example.com                                                                                      hyperledger/fabric-orderer:latest                                                                                                                                          Up 13 minutes                   13 minutes ago
peer0.org2.example.com                                                                                    hyperledger/fabric-peer:latest                                                                                                                                             Up 13 minutes                   13 minutes ago
orderer.example.com                                                                                       hyperledger/fabric-orderer:latest                                                                                                                                          Up 13 minutes                   13 minutes ago
bench-monitoring-grafana-1                                                                                grafana/grafana:11.4.0                                                                                                                                                     Up 3 hours                      3 hours ago
bench-monitoring-prometheus-1                                                                             prom/prometheus:v3.1.0                                                                                                                                                     Up 3 hours                      3 hours ago
bench-monitoring-cadvisor-1                                                                               ghcr.io/google/cadvisor:0.57.0                                                                                                                                             Up 3 hours (healthy)            3 hours ago
bench-monitoring-node_exporter-1                                                                          prom/node-exporter:v1.9.0                                                                                                                                                  Up 3 hours                      3 hours ago
nucleus-headlamp-1                                                                                        weaverai/nucleus-k8-dashboard                                                                                                                                              Up 24 hours                     5 weeks ago
feast-control-plane                                                                                       kindest/node:v1.36.1                                                                                                                                                       Up 24 hours                     6 weeks ago
feast-worker                                                                                              kindest/node:v1.36.1                                                                                                                                                       Up 24 hours                     6 weeks ago
feast-worker2                                                                                             kindest/node:v1.36.1                                                                                                                                                       Up 24 hours                     6 weeks ago
untitled-cassandra                                                                                        cassandra:5.0                                                                                                                                                              Restarting (3) 45 seconds ago   7 weeks ago
