phase,offered_tps,confirmed_tps,offered_tps_actual,fail_rate,committed,submitted,invalid,errored,timed_out,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_p99.9_ms,submit_p50_ms,commit_p50_ms
probe,10,10.08,10.08,0.0000,55,55,0,0,0,582.14,1056.77,1081.34,1082.37,4.21,578.05
sweep-100,100,100.02,100.02,0.0000,3606,3606,0,0,0,582.66,1033.73,1074.18,1087.49,3.16,579.07
sweep-250,250,250.03,250.03,0.0000,9014,9014,0,0,0,291.07,471.04,487.94,496.38,2.93,287.49
sweep-500,500,500.01,500.01,0.0000,18033,18033,0,0,0,192.38,282.62,293.63,306.18,2.85,181.76
sweep-1000,1000,1000.01,1000.01,0.0000,36098,36098,0,0,0,183.42,245.25,261.89,285.44,20.27,170.62
sweep-2000,2000,1753.49,1753.49,0.0000,69521,69521,0,0,0,10436.61,14737.41,14884.86,14934.02,48.29,5324.80
sweep-3500,3500,1125.36,1125.36,0.0000,48421,48421,0,0,0,31588.35,38535.17,39157.76,39223.30,50.62,9256.96
sweep-5000,5000,617.66,617.66,0.0000,28721,28721,0,0,0,45613.06,50495.49,50724.86,50757.63,47.55,12902.40
sweep-7500,7500,36.08,36.08,0.0000,1856,1856,0,0,0,60948.48,61177.86,61210.62,61210.62,50.24,16605.18
sweep-10000,10000,0.00,0.00,0.0000,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
hold,9000,1105.50,1105.50,0.0000,326607,326607,0,0,0,179306.50,262275.07,268042.24,269221.89,50.40,24788.99
