phase,offered_tps,confirmed_tps,offered_tps_actual,fail_rate,committed,submitted,invalid,errored,timed_out,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_p99.9_ms,submit_p50_ms,commit_p50_ms,goodput_ratio,send_gap_p99_ms,invariant_ok,verdict
probe,10,10.00,10.00,0.0000,300,300,0,0,0,3.14,522.50,525.82,533.50,2.39,0.01,1.0000,1.10,true,
sweep-100,100,100.00,100.00,0.0000,1500,1500,0,0,0,24.08,485.89,525.82,535.55,2.88,19.33,1.0000,1.11,true,held
sweep-250,250,250.00,250.00,0.0000,3750,3750,0,0,0,33.89,482.82,526.85,534.02,2.49,30.30,1.0000,1.09,true,held
sweep-500,500,500.00,500.00,0.0000,7500,7500,0,0,0,8.56,494.59,532.99,542.72,2.37,0.01,1.0000,1.07,true,held
sweep-1000,1000,1000.00,1000.00,0.0000,15000,15000,0,0,0,69.50,516.61,557.06,568.32,2.43,66.56,1.0000,1.02,true,held
sweep-2000,2000,2000.00,2000.00,0.0000,30000,30000,0,0,0,125.25,572.42,613.89,627.71,2.58,121.92,1.0000,1.04,true,held
sweep-3500,3500,3500.00,3500.00,0.0000,52500,52500,0,0,0,26.82,413.95,442.88,476.42,3.35,0.01,1.0000,1.22,true,held
sweep-5000,5000,5000.00,5000.00,0.0000,75000,75000,0,0,0,108.42,460.54,565.76,640.00,18.80,0.06,1.0000,3.23,true,held
sweep-7500,7500,4775.40,7500.00,0.3633,71631,112500,0,40869,0,144.26,24870.91,24985.60,25083.90,52.51,0.19,0.6367,2.97,true,failure rate 36.33% > 2.00%
sweep-10000,10000,0.00,10000.00,1.0000,0,150000,0,150000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,true,failure rate 100.00% > 2.00%
