phase,offered_tps,confirmed_tps,offered_tps_actual,fail_rate,committed,submitted,invalid,errored,timed_out,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_p99.9_ms,submit_p50_ms,commit_p50_ms,goodput_ratio,send_gap_p99_ms,invariant_ok,verdict
probe,10,10.00,10.00,0.0000,300,300,0,0,0,880.13,1419.26,1489.92,1509.38,0.63,879.10,1.0000,1.11,true,
sweep-100,100,100.00,100.00,0.0000,1500,1500,0,0,0,787.46,1387.52,1486.85,1526.78,0.40,786.43,1.0000,1.09,true,held
sweep-250,250,250.00,250.00,0.0000,3750,3750,0,0,0,498.94,806.40,884.74,928.26,0.33,498.43,1.0000,1.09,true,held
sweep-500,500,500.00,500.00,0.0000,7500,7500,0,0,0,392.19,646.14,704.00,734.21,0.30,391.42,1.0000,1.09,true,held
sweep-1000,1000,1000.00,1000.00,0.0000,15000,15000,0,0,0,356.10,581.63,620.03,642.05,0.26,355.07,1.0000,1.07,true,held
sweep-2000,2000,2000.00,2000.00,0.0000,30000,30000,0,0,0,353.02,560.13,588.80,605.18,0.26,352.26,1.0000,1.11,true,held
sweep-3500,3500,3500.00,3500.00,0.0000,52500,52500,0,0,0,378.62,567.81,588.80,602.11,0.26,377.86,1.0000,1.13,true,held
sweep-5000,5000,5000.00,5000.00,0.0000,75000,75000,0,0,0,416.26,550.40,568.83,592.90,0.26,414.72,1.0000,1.12,true,held
sweep-7500,7500,7500.00,7500.00,0.0000,112500,112500,0,0,0,2994.18,3760.13,3815.42,3856.38,0.49,2973.70,1.0000,29.04,true,held
sweep-10000,10000,7482.20,10000.00,0.2518,112233,150000,0,37767,0,10805.25,11091.97,11116.54,11157.50,0.41,10805.25,0.7482,5.69,true,failure rate 25.18% > 2.00%
hold,6750,6750.00,6750.00,0.0000,1721250,1721250,0,0,0,524.03,670.72,737.28,837.63,0.36,519.42,1.0000,2.00,true,
