phase,offered_tps,confirmed_tps,offered_tps_actual,fail_rate,committed,submitted,invalid,errored,timed_out,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_p99.9_ms,submit_p50_ms,commit_p50_ms,goodput_ratio,send_gap_p99_ms,invariant_ok,verdict
probe,10,10.00,10.00,0.0000,300,300,0,0,0,352.26,452.10,452.86,454.66,0.42,351.49,1.0000,0.97,true,
sweep-100,100,100.00,100.00,0.0000,1500,1500,0,0,0,178.43,228.22,238.72,241.02,0.40,177.41,1.0000,1.08,true,held
sweep-250,250,250.00,250.00,0.0000,3750,3750,0,0,0,141.57,180.61,192.26,203.90,0.39,140.42,1.0000,1.11,true,held
sweep-500,500,500.00,500.00,0.0000,7500,7500,0,0,0,134.40,174.46,185.34,197.38,0.39,133.50,1.0000,1.08,true,held
sweep-1000,1000,999.87,1000.00,0.0001,14998,15000,2,0,0,135.68,174.46,187.78,211.46,0.36,134.40,0.9999,1.07,true,held
sweep-2000,2000,1999.33,2000.00,0.0003,29990,30000,10,0,0,135.17,174.21,185.73,195.46,0.29,134.27,0.9997,1.10,true,held
sweep-3500,3500,3497.47,3500.00,0.0007,52462,52500,38,0,0,134.53,173.44,185.22,196.48,0.29,133.89,0.9993,1.69,true,held
sweep-5000,5000,4996.93,5000.00,0.0006,74954,75000,46,0,0,137.86,176.90,189.57,204.54,0.31,137.22,0.9994,1.97,true,held
sweep-7500,7500,7492.53,7500.00,0.0010,112388,112500,112,0,0,140.54,180.35,193.41,205.95,0.35,139.90,0.9990,4.85,true,held
sweep-10000,10000,9982.13,10000.00,0.0018,149732,150000,268,0,0,155.90,278.02,366.08,414.21,0.47,154.50,0.9982,74.82,true,send-gap p99 75 ms > 50 ms (generator fell behind)
hold,6750,0.00,6750.00,1.0000,0,1721250,0,1721250,0,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,true,
